Código;Especie;Nombre común/vulgar;Medio;Familia;Clases;Origen;Endemicidad;Imagen
F01417;Ageratina riparia (Regel) R. M. King & H. Rob.;Matoespuma fino  espumadera;Terrestre;Asteraceae;Magnoliopsida;ISI;No endémico;1
F01415;Ageratum houstonianum Mill.;;Terrestre;Asteraceae;Magnoliopsida;ISN;No endémico;null
E02153;Aglaothamnion cordatum (Børgesen) Feldmann-Mazoyer;;Marino;Callithamniaceae;Florideophyceae;NP;No endémico;null
E02164;Aglaothamnion tenuissimum (Bonnemaison) Feldmann-Mazoyer;;Marino;Callithamniaceae;Florideophyceae;NP;No endémico;null
F00431;Agrimonia eupatoria L.;Agrimonia;Terrestre;Rosaceae;Magnoliopsida;NP;No endémico;1
F00153;Agrostemma githago L.;Neguillón;Terrestre;Caryophyllaceae;Magnoliopsida;IP;No endémico;null
F01878;Agrostis capillaris L.;Yerbafina común;Terrestre;Poaceae;Liliopsida;NP;No endémico;null
F01879;Agrostis castellana Boiss. & Reut.;Yerbafina de Castilla  Greña;Terrestre;Poaceae;Liliopsida;NP;No endémico;null
F02374;Agrostis stolonifera L.;;Terrestre;Poaceae;Liliopsida;IP;No endémico;null
F02377;Agrostis stolonifera L. subsp. filifolia (Link) H. Scholz;;Terrestre;Poaceae;Liliopsida;IP;No endémico;null
F02373;Agrostis stolonifera L. subsp. stolonifera;;Terrestre;Poaceae;Liliopsida;IP;No endémico;null
F01793;Aichryson bituminosum Bañares;Gongarillo de Tenteniguada;Terrestre;Crassulaceae;Magnoliopsida;NS;Endémico;3
F00383;Aichryson bollei Webb ex Bolle;Gongarillo de Bolle;Terrestre;Crassulaceae;Magnoliopsida;NS;Endémico;2
F00384;Aichryson brevipetalum Praeger;Gongarillo de Las Nieves  estrella peluda;Terrestre;Crassulaceae;Magnoliopsida;NS;Endémico;6
F00385;Aichryson laxum (Haw.) Bramwell;Campanillas  estrella lanuda  oreja de ratón;Terrestre;Crassulaceae;Magnoliopsida;NS;Endémico;8
E07989;Aichryson laxum (Haw.) Bramwell subsp. latipetalum (Bañares & M.A. Marrero) Bañares;;Terrestre;Crassulaceae;Magnoliopsida;NS;Endémico;1
E07990;Aichryson laxum (Haw.) Bramwell subsp. laxum;;Terrestre;Crassulaceae;Magnoliopsida;NS;Endémico;7
F02174;Aichryson pachycaulon Bolle;;Terrestre;Crassulaceae;Magnoliopsida;NS;Endémico;2
F00387;Aichryson pachycaulon gonzalez-hernandezii (G. Kunkel) Bramwell;Gongarillo mayor gomero;Terrestre;Crassulaceae;Magnoliopsida;NS;Endémico;3
F00388;Aichryson pachycaulon Bolle subsp. immaculatum (Bolle) Bramwell;Gongarillo mayor tinerfeño;Terrestre;Crassulaceae;Magnoliopsida;NS;Endémico;6
F00386;Aichryson pachycaulon Bolle subsp. pachycaulon;Gongarillo mayor de Jandía;Terrestre;Crassulaceae;Magnoliopsida;NS;Endémico;1
F00389;Aichryson pachycaulon Bolle subsp. parviflorum (Bolle) Bramwell;Gongarillo mayor palmero;Terrestre;Crassulaceae;Magnoliopsida;NS;Endémico;null
F00390;Aichryson pachycaulon Bolle subsp. praetermissum Bramwell;Gongarillo mayor grancanario;Terrestre;Crassulaceae;Magnoliopsida;NS;Endémico;1
F00391;Aichryson palmense Webb ex Bolle;Gongarillo palmero;Terrestre;Crassulaceae;Magnoliopsida;NS;Endémico;2
F00392;Aichryson parlatorei Bolle;Gongarillo chico;Terrestre;Crassulaceae;Magnoliopsida;NS;Endémico;2
F00393;Aichryson porphyrogennetos Bolle;Gongarillo rojo  estrella dorada  estrella peluda;Terrestre;Crassulaceae;Magnoliopsida;NS;Endémico;3
F00394;Aichryson punctatum (C. Sm. ex Link) Webb & Berthel.;Gongarillo punteado;Terrestre;Crassulaceae;Magnoliopsida;NS;Endémico;9
E08159;Aichryson roseum Bañares;;Terrestre;Crassulaceae;Magnoliopsida;NS;Endémico;5
F00395;Aichryson tortuosum (Aiton) Webb & Berthel.;Gongarillo purpurario  pelotilla;Terrestre;Crassulaceae;Magnoliopsida;NS;Endémico;16
E08266;Aichryson tortuosum (Aiton) Webb & Berthel. subsp. bethencourtianum (Bolle) A. Bañares;;Terrestre;Crassulaceae;Magnoliopsida;NS;Endémico;null
E08267;Aichryson tortuosum (Aiton) Webb & Berthel. subsp. tortuosum;;Terrestre;Crassulaceae;Magnoliopsida;NS;Endémico;null
F00698;Ailanthus altissima (Mill.) Swingle;Árbol del cielo;Terrestre;Simaroubaceae;Magnoliopsida;ISI;No endémico;4
E06077;Aiolocolax pulchellus Pocock;;Marino;Rhodomelaceae;Florideophyceae;NP;No endémico;null
F02175;Aira caryophyllea L.;;Terrestre;Poaceae;Liliopsida;NP;No endémico;null
F01880;Aira caryophyllea L. subsp. caryophyllea;Heno común;Terrestre;Poaceae;Liliopsida;NP;No endémico;null
F02375;Aira caryophyllea L. subsp. plesiantha (Jord.) K. Richt.;;Terrestre;Poaceae;Liliopsida;NP;No endémico;null
F00417;Aira cupaniana Guss.;Heno lampiño;Terrestre;Poaceae;Liliopsida;NP;No endémico;1
F01881;Aira elegans Willd. ex Roem. & Schult.;Heno elegante;Terrestre;Poaceae;Liliopsida;NP;No endémico;null
F01882;Aira praecox L.;Heno temprano;Terrestre;Poaceae;Liliopsida;NP;No endémico;null
F00077;Aizoanthemopsis hispanica (L.) Klak;Gazul  cosco macho;Terrestre;Aizoaceae;Magnoliopsida;NP;No endémico;2
F00076;Aizoon canariense L.;Pata perro  patilla;Terrestre;Aizoaceae;Magnoliopsida;NS;No endémico;10
F01285;Ajuga iva (L.) Schreb.;Hierba clin;Terrestre;Lamiaceae;Magnoliopsida;NP;No endémico;2
F01001;Alcea rosea L.;Malva real;Terrestre;Malvaceae;Magnoliopsida;ISN;No endémico;null
F01722;Alisma lanceolatum With.;Llantén de agua menor  Lengua de agua;Terrestre;Alismataceae;Liliopsida;NP;No endémico;null
F01418;Allagopappus canariensis (Willd.) Greuter;Madama de risco  mato risco;Terrestre;Asteraceae;Magnoliopsida;NS;Endémico;8
F01419;Allagopappus viscosissimus Bolle;Madama pegajosa  mato de risco;Terrestre;Asteraceae;Magnoliopsida;NS;Endémico;7
C00341;Alleniella complanata (Hedw.) S.Olsson  Enroth & D.Quandt;;Terrestre;Neckeraceae;Bryopsida;NP;No endémico;null
F01757;Allium ampeloprasum L.;Ajo porro  Cebolleta  Puerro bravo  Puerro silvestre;Terrestre;Amaryllidaceae;Liliopsida;IP;No endémico;1
E09095;Allium canariense (Regel) N. Friesen & P. Schoenfelder;;Terrestre;Amaryllidaceae;Liliopsida;NS;Endémico;null
F01762;Allium canariense (Regel) N. Friesen & P. Schoenfelder subsp. canariense;Ajo de bruja;Terrestre;Amaryllidaceae;Liliopsida;NS;Endémico;2
F02168;Allium canariense (Regel) N. Friesen & P. Schoenfelder subsp. obtusitepalum (Svent.) N. Friesen & P. Schoenfelder;Ajo de Lanzarote  Tarabaste;Terrestre;Amaryllidaceae;Liliopsida;NS;Endémico;null
F01758;Allium cepa L.;Cebolla;Terrestre;Amaryllidaceae;Liliopsida;IP;No endémico;2
F01760;Allium nigrum L.;Ajo negro;Terrestre;Amaryllidaceae;Liliopsida;IP;No endémico;null
E06796;Allium pallens  L.;;Terrestre;Amaryllidaceae;Liliopsida;ISN;No endémico;null
F01761;Allium paniculatum L.;Ajo abierto;Terrestre;Amaryllidaceae;Liliopsida;IP;No endémico;null
F01763;Allium rotundum L.;Ajo pardo;Terrestre;Amaryllidaceae;Liliopsida;IP;No endémico;null
F01764;Allium sativum L.;Ajo común;Terrestre;Amaryllidaceae;Liliopsida;IP;No endémico;null
F01765;Allium sphaerocephalum L.;Ajo montesino;Terrestre;Amaryllidaceae;Liliopsida;NP;No endémico;null
F01766;Allium subhirsutum L.;Gamonilla  Tarabaste dulce;Terrestre;Amaryllidaceae;Liliopsida;NP;No endémico;null
F02301;Allium triquetrum L.;Ajo simple;Terrestre;Amaryllidaceae;Liliopsida;ISN;No endémico;null
F01768;Allium vineale L.;Puerro de viña  Cebollín  Ajo salvaje;Terrestre;Amaryllidaceae;Liliopsida;IP;No endémico;null
F00013;Allosorus fragilis Christenh.;Doradilla fina;Terrestre;Pteridaceae;Filicopsida;NS;Endémico;3
F00010;Allosorus guanchicus (Bolle) Christenh.;;Terrestre;Pteridaceae;Filicopsida;NS;No endémico;null
F00011;Allosorus pteridioides Reichard & Christenh.;;Terrestre;Pteridaceae;Filicopsida;NS;No endémico;3
F00014;Allosorus tinaei (Tod.) Christenh.;;Terrestre;Pteridaceae;Filicopsida;NS;No endémico;null
F01740;Aloe arborescens Mill.;Sábila árborea roja;Terrestre;Xanthorrhoeaceae;Liliopsida;ISN;No endémico;2
F01741;Aloe ciliaris Haw.;Sábila culebra;Terrestre;Xanthorrhoeaceae;Liliopsida;ISN;No endémico;null
F01742;Aloe vera (L.) Burm. f.;Sábila común  Zábila  Penca savia  Aloe amarillo;Terrestre;Xanthorrhoeaceae;Liliopsida;ISN;No endémico;2
C00143;Aloina aloides (Koch ex Schultz) Kindb.;;Terrestre;Pottiaceae;Bryopsida;NP;No endémico;null
C00492;Aloina ambigua (Bruch & Schimp.) Limpr.;;Terrestre;Pottiaceae;Bryopsida;NP;No endémico;null
C00497;Aloina brevirostris (Hook. & Grev.) Kindb.;;Terrestre;Pottiaceae;Bryopsida;NP;No endémico;null
C00496;Aloina humilis M.T.Gallego  M.J.Cano & Ros;;Terrestre;Pottiaceae;Bryopsida;NS;Endémico;null
C00144;Aloina rigida (Hedw.) Limpr.;;Terrestre;Pottiaceae;Bryopsida;NP;No endémico;null
F01883;Alopecurus geniculatus L.;Cola de zorra mansa;Terrestre;Poaceae;Liliopsida;IP;No endémico;null
F02395;Alopecurus myosuroides Huds.;;Terrestre;Poaceae;Liliopsida;IP;No endémico;null
F01814;Alpinia zerumbet (Pers.) Burtt & R. M. Sm.;Gengibre de concha;Terrestre;Zingiberaceae;Liliopsida;ISN;No endémico;4
E06080;Alsidium corallinum C. Agardh;Alsidio  alga de coral;Marino;Rhodomelaceae;Florideophyceae;NS;No endémico;4
E08415;Alstroemeria ligtu L.;;Terrestre;Alstroemeriaceae;Liliopsida;ISN;No endémico;null
F01804;Alstroemeria pulchella L. f.;Altromeria rosada;Terrestre;Alstroemeriaceae;Liliopsida;ISN;No endémico;null
F00088;Alternanthera caracasana Kunth;Sangradera de Canacas;Terrestre;Amaranthaceae;Magnoliopsida;ISN;No endémico;null
F01002;Althaea longiflora Boiss. & Reut.;Malvavisco menuda;Terrestre;Malvaceae;Magnoliopsida;ISN;No endémico;null
E08058;Alyssum granatense Boiss. & Reut.;;Terrestre;Brassicaceae;Magnoliopsida;NP;No endémico;null
F00902;Alyssum simplex Rudolphi;;Terrestre;Brassicaceae;Magnoliopsida;NP;No endémico;null
F00089;Amaranthus albus L.;Mastrancillo;Terrestre;Amaranthaceae;Magnoliopsida;ISN;No endémico;null
F00090;Amaranthus blitoides S. Watson;;Terrestre;Amaranthaceae;Magnoliopsida;ISN;No endémico;2
E06170;Amaranthus blitum L.;;Terrestre;Amaranthaceae;Magnoliopsida;ISN;No endémico;null
F00091;Amaranthus caudatus L.;Moco de pavo;Terrestre;Amaranthaceae;Magnoliopsida;ISN;No endémico;null
F02106;Amaranthus cruentus L.;Bledo crestagallo  amaranto;Terrestre;Amaranthaceae;Magnoliopsida;ISN;No endémico;2
F00092;Amaranthus deflexus L.;Bledo rastrero;Terrestre;Amaranthaceae;Magnoliopsida;ISN;No endémico;null
E09018;Amaranthus emarginatus Uline & Bray;;Terrestre;Amaranthaceae;Magnoliopsida;ISN;No endémico;null
F00096;Amaranthus emarginatus Uline & Bray ssp. emarginatus (Salzm. ex Uline & Bray) Carretero  Muñoz Garm. & Pedrol;Bleo  bledo;Terrestre;Amaranthaceae;Magnoliopsida;ISN;No endémico;null
F02176;Amaranthus graecizans L.;;Terrestre;Amaranthaceae;Magnoliopsida;ISN;No endémico;null
F00093;Amaranthus graecizans L. subsp. sylvestris (Vill.) Brenan;;Terrestre;Amaranthaceae;Magnoliopsida;ISN;No endémico;null
E09019;Amaranthus hybridus L.;;Terrestre;Amaranthaceae;Magnoliopsida;ISN;No endémico;null
F00094;Amaranthus hybridus L. subsp. hybridus;Bleco  bleo  brea  bledo;Terrestre;Amaranthaceae;Magnoliopsida;ISN;No endémico;null
F00098;Amaranthus hybridus L. subsp. quitensis (Kunth) Costea & Carretero;;Terrestre;Amaranthaceae;Magnoliopsida;ISN;No endémico;null
F00097;Amaranthus muricatus (Gillies ex Moq.) Hieron.;;Terrestre;Amaranthaceae;Magnoliopsida;ISN;No endémico;1
E08922;Amaranthus powellii S. Watson;;Terrestre;Amaranthaceae;Magnoliopsida;ISN;No endémico;null
F00099;Amaranthus retroflexus L.;;Terrestre;Amaranthaceae;Magnoliopsida;ISN;No endémico;null
